penalty,mixture,.metric,.estimator,mean,n,std_err,.config
1e-5,0.6666666666666666,pr_auc,binary,0.7246472892187178,25,0.028807007711739507,Preprocessor1_Model29
1e-5,0.6666666666666666,roc_auc,binary,0.6090476190476191,25,0.0354699312684343,Preprocessor1_Model29
1e-4,0.6666666666666666,accuracy,binary,0.6116363636363636,25,0.02593443736274828,Preprocessor1_Model30
1e-4,0.6666666666666666,pr_auc,binary,0.7231869717584003,25,0.029194527464604332,Preprocessor1_Model30
1e-4,0.6666666666666666,roc_auc,binary,0.6059523809523809,25,0.036211812319655076,Preprocessor1_Model30
0.001,0.6666666666666666,accuracy,binary,0.6043636363636363,25,0.024852845145892855,Preprocessor1_Model31
0.001,0.6666666666666666,pr_auc,binary,0.7269316807531093,25,0.0267619159056795,Preprocessor1_Model31
0.001,0.6666666666666666,roc_auc,binary,0.6002380952380952,25,0.034068702540885676,Preprocessor1_Model31
0.01,0.6666666666666666,accuracy,binary,0.5923636363636363,25,0.025153413582971858,Preprocessor1_Model32
0.01,0.6666666666666666,pr_auc,binary,0.7342865216793788,25,0.026244779559206427,Preprocessor1_Model32
0.01,0.6666666666666666,roc_auc,binary,0.6016666666666667,25,0.03113673729977149,Preprocessor1_Model32
0.1,0.6666666666666666,accuracy,binary,0.7101818181818181,25,0.020289366727521508,Preprocessor1_Model33
0.1,0.6666666666666666,pr_auc,binary,0.822608929430358,25,0.024520495968241768,Preprocessor1_Model33
0.1,0.6666666666666666,roc_auc,binary,0.7542857142857143,25,0.026344514546903654,Preprocessor1_Model33
1,0.6666666666666666,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model34
1,0.6666666666666666,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model34
1,0.6666666666666666,roc_auc,binary,0.5,25,0,Preprocessor1_Model34
10,0.6666666666666666,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model35
10,0.6666666666666666,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model35
10,0.6666666666666666,roc_auc,binary,0.5,25,0,Preprocessor1_Model35
1e-5,0.8333333333333333,accuracy,binary,0.6076363636363636,25,0.02364615181943499,Preprocessor1_Model36
1e-5,0.8333333333333333,pr_auc,binary,0.7212041331684189,25,0.02711632383700367,Preprocessor1_Model36
1e-5,0.8333333333333333,roc_auc,binary,0.5982142857142857,25,0.034877769506442356,Preprocessor1_Model36
1e-4,0.8333333333333333,accuracy,binary,0.6116363636363636,25,0.023807770104639615,Preprocessor1_Model37
1e-4,0.8333333333333333,pr_auc,binary,0.7234804335875764,25,0.02790303567578275,Preprocessor1_Model37
1e-4,0.8333333333333333,roc_auc,binary,0.5980952380952381,25,0.036001031416315686,Preprocessor1_Model37
0.001,0.8333333333333333,accuracy,binary,0.6,25,0.025248080416900846,Preprocessor1_Model38
0.001,0.8333333333333333,pr_auc,binary,0.7253279392565106,25,0.026992343611026447,Preprocessor1_Model38
0.001,0.8333333333333333,roc_auc,binary,0.5952380952380952,25,0.034948807178569595,Preprocessor1_Model38
0.01,0.8333333333333333,accuracy,binary,0.5850909090909091,25,0.024336257796262983,Preprocessor1_Model39
0.01,0.8333333333333333,pr_auc,binary,0.7367067786710644,25,0.026297218290162565,Preprocessor1_Model39
0.01,0.8333333333333333,roc_auc,binary,0.6138095238095238,25,0.03053426386604514,Preprocessor1_Model39
0.1,0.8333333333333333,accuracy,binary,0.7061818181818181,25,0.019942893678312153,Preprocessor1_Model40
0.1,0.8333333333333333,pr_auc,binary,0.8250167834810692,25,0.024454294037782893,Preprocessor1_Model40
0.1,0.8333333333333333,roc_auc,binary,0.7583333333333333,25,0.025886584717369616,Preprocessor1_Model40
1,0.8333333333333333,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model41
1,0.8333333333333333,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model41
1,0.8333333333333333,roc_auc,binary,0.5,25,0,Preprocessor1_Model41
10,0.8333333333333333,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model42
10,0.8333333333333333,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model42
10,0.8333333333333333,roc_auc,binary,0.5,25,0,Preprocessor1_Model42
1e-5,1,accuracy,binary,0.5927272727272728,25,0.023254490961151116,Preprocessor1_Model43
1e-5,1,pr_auc,binary,0.7185429464715178,25,0.026689034553459022,Preprocessor1_Model43
1e-5,1,roc_auc,binary,0.5792857142857143,25,0.036735515010873805,Preprocessor1_Model43
1e-4,1,accuracy,binary,0.5923636363636363,25,0.021453261389411733,Preprocessor1_Model44
1e-4,1,pr_auc,binary,0.716404624476053,25,0.02735279141099311,Preprocessor1_Model44
1e-4,1,roc_auc,binary,0.58,25,0.036337290970043054,Preprocessor1_Model44
0.001,1,accuracy,binary,0.596,25,0.022806407683038526,Preprocessor1_Model45
0.001,1,pr_auc,binary,0.7235833505119219,25,0.028133679758021984,Preprocessor1_Model45
0.001,1,roc_auc,binary,0.59,25,0.03731739364533281,Preprocessor1_Model45
0.01,1,accuracy,binary,0.5883636363636363,25,0.022645428390676233,Preprocessor1_Model46
0.01,1,pr_auc,binary,0.7510382223596509,25,0.022591590330372203,Preprocessor1_Model46
0.01,1,roc_auc,binary,0.6290476190476191,25,0.02641659245180817,Preprocessor1_Model46
0.1,1,accuracy,binary,0.7178181818181818,25,0.021010819723526867,Preprocessor1_Model47
0.1,1,pr_auc,binary,0.8461178794750224,25,0.019584447451247284,Preprocessor1_Model47
0.1,1,roc_auc,binary,0.7785714285714286,25,0.024073438127538475,Preprocessor1_Model47
1,1,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model48
1,1,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model48
1,1,roc_auc,binary,0.5,25,0,Preprocessor1_Model48
10,1,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model49
10,1,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model49
10,1,roc_auc,binary,0.5,25,0,Preprocessor1_Model49
